Arrival,Dept.,Nights,Room,Total (Rs) (Inclusive of Tax)
16-03-2025,17-03-2025,1.0,219-Deluxe Room (Non-AC),1411.2
16-03-2025,28-03-2025,12.0,202-Deluxe with Balcony,18000.0
20-03-2025,21-03-2025,1.0,204-Deluxe with Balcony,2850.0
20-03-2025,21-03-2025,1.0,205-Family Suite (3B),2500.0
16-03-2025,17-03-2025,1.0,203-Deluxe with Balcony,2190.0
16-03-2025,18-03-2025,2.0,106-Executive Suite with Balcony,4480.0
17-03-2025,19-03-2025,2.0,108-Deluxe without Balcony,4636.0
20-04-2025,21-04-2025,1.0,115-Family Suite (4B),6300.5
20-04-2025,21-04-2025,1.0,105-Family Suite (3B),3300.0
17-03-2025,18-03-2025,1.0,212-Family Suite (4B),5210.0
26-03-2025,27-03-2025,1.0,219-Deluxe Room (Non-AC),1568.0
18-03-2025,20-03-2025,2.0,204-Deluxe with Balcony,5134.0
17-03-2025,18-03-2025,1.0,203-Deluxe with Balcony,2770.0
17-03-2025,18-03-2025,1.0,109-Deluxe without Balcony,1500.0
23-03-2025,24-03-2025,1.0,216-Deluxe Room (Non-AC),1411.2
10-04-2025,12-04-2025,2.0,216-Deluxe Room (Non-AC),1695.32
10-04-2025,12-04-2025,2.0,217-Deluxe Room (Non-AC),1695.32
18-03-2025,21-03-2025,3.0,109-Deluxe without Balcony,6190.0
18-03-2025,19-03-2025,1.0,110-Deluxe without Balcony,2000.0
21-03-2025,22-03-2025,1.0,218-Deluxe Room (Non-AC),1176.0
18-03-2025,19-03-2025,1.0,216-Deluxe Room (Non-AC),1200.0
18-03-2025,19-03-2025,1.0,101-Deluxe with Balcony,2976.0
18-03-2025,19-03-2025,1.0,102-Deluxe with Balcony,2000.0
19-03-2025,21-03-2025,2.0,206-Executive Suite with Balcony,5365.0
19-03-2025,20-03-2025,1.0,110-Deluxe without Balcony,1600.0
19-03-2025,20-03-2025,1.0,111-Deluxe without Balcony,1600.0
04-04-2025,05-04-2025,1.0,110-Deluxe without Balcony,6468.0
04-04-2025,05-04-2025,1.0,210-Deluxe without Balcony,2352.0
04-04-2025,05-04-2025,1.0,215-Deluxe without Balcony,3528.0
04-04-2025,05-04-2025,1.0,105-Family Suite (3B),9238.0
04-04-2025,05-04-2025,1.0,205-Family Suite (3B),3528.0
19-03-2025,20-03-2025,1.0,108-Deluxe without Balcony,8260.0
19-03-2025,20-03-2025,1.0,215-Deluxe without Balcony,1600.0
22-03-2025,23-03-2025,1.0,105-Family Suite (3B),2560.44
19-03-2025,22-03-2025,3.0,109-Deluxe without Balcony,5500.0
20-03-2025,21-03-2025,1.0,218-Deluxe Room (Non-AC),847.66
20-03-2025,21-03-2025,1.0,216-Deluxe Room (Non-AC),1411.2
19-03-2025,30-03-2025,11.0,301-Zen Room with Balcony,16820.0
22-03-2025,23-03-2025,1.0,205-Family Suite (3B),3150.0
20-03-2025,21-03-2025,1.0,210-Deluxe without Balcony,2000.0
03-04-2025,04-04-2025,1.0,108-Deluxe without Balcony,2196.0
03-04-2025,04-04-2025,1.0,109-Deluxe without Balcony,2736.0
20-03-2025,21-03-2025,1.0,108-Deluxe without Balcony,1640.0
20-03-2025,21-03-2025,1.0,110-Deluxe without Balcony,1720.0
21-03-2025,22-03-2025,1.0,107-Executive Suite with Balcony,2200.0
21-03-2025,22-03-2025,1.0,115-Family Suite (4B),3800.0
21-03-2025,22-03-2025,1.0,215-Deluxe without Balcony,2240.0
21-03-2025,22-03-2025,1.0,207-Executive Suite with Balcony,2400.0
21-03-2025,22-03-2025,1.0,216-Deluxe Room (Non-AC),1400.0
22-03-2025,23-03-2025,1.0,101-Deluxe with Balcony,3052.8
22-03-2025,23-03-2025,1.0,102-Deluxe with Balcony,2872.8
21-03-2025,23-03-2025,2.0,108-Deluxe without Balcony,4980.0
21-03-2025,22-03-2025,1.0,114-Family Suite (4B),4030.0
